sno,candidate,constituency,party,criminal_case,education,total_assets,liabilities,actual_declared_movable,sum_all_movable,actual_declared_immovable,sum_all_immovable,all_candidate_links
3473,Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,"Rs 49,84,56,706 ~ 49 Crore+","Rs 29,37,827 ~ 29 Lacs+","Rs 9,48,73,436","Rs 10,34,22,008","Rs 40,35,83,270","Rs 40,35,83,270",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7087
3474,Kapil Soni,CHHINDWARA,Rashtriya Gondvana Party,0,Graduate,"Rs 5,64,000","Rs 3,50,000","Rs 5,64,000","Rs 5,66,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=590
3475,Karadi Basavaraj,KOPPAL,IND,0,Graduate,"Rs 80,46,000 ~ 80 Lacs+","Rs 42,89,979 ~ 42 Lacs+","Rs 56,46,000","Rs 56,46,000","Rs 24,00,000","Rs 24,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4001
3476,Karam Hussain Kitabullah Khan,MUMBAI SOUTH - CENTRAL,Peace Party,0,8th Pass,"Rs 1,09,64,900 ~ 1 Crore+",Rs 0 ~,"Rs 25,64,900","Rs 25,64,900","Rs 84,00,000","Rs 84,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7717
3477,Karam Singh Maluka,FARIDKOT (SC),IND,0,10th Pass,"Rs 26,21,133",Nil,"Rs 6,21,132.95","Rs 6,21,132.95","Rs 20,00,000","Rs 20,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9251
3478,Karamjit Singh Anmol,FARIDKOT (SC),AAP,0,12th Pass,"Rs 15,05,04,393 ~ 15 Crore+","Rs 3,11,49,638 ~ 3 Crore+","Rs 1,48,69,656","Rs 1,48,69,652","Rs 13,56,34,737","Rs 13,56,34,737",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8750
3479,Karan Balasaheb Patil - Pawar,JALGAON,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 14,40,80,198 ~ 14 Crore+","Rs 17,80,38,763 ~ 17 Crore+","Rs 8,00,80,198.26","Rs 8,02,80,198.21","Rs 6,40,00,000","Rs 6,40,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5318
3480,Karan Bhushan Singh,KAISERGANJ,BJP,0,Graduate Professional,"Rs 49,56,81,640","Rs 22,93,59,343","Rs 4,70,72,091","Rs 4,70,72,111","Rs 44,86,09,549","Rs 44,86,09,549",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7440
3481,Karan Pandharinath Gaikar,NASHIK,Vanchit Bahujan Aaghadi,3,12th Pass,"Rs 1,80,97,033 ~ 1 Crore+","Rs 12,86,000 ~ 12 Lacs+","Rs 63,68,033","Rs 63,68,033","Rs 1,17,29,000","Rs 1,17,29,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7421
3482,Karan Pawar,JALGAON,IND,0,8th Pass,"Rs 70,300 ~ 70 Thou+",Rs 0 ~,"Rs 70,300","Rs 70,300",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6885
3483,Karan Singh Saini Engineer,HARIDWAR,IND,0,Others,"Rs 14,10,75,000",Nil,"Rs 1,62,75,000","Rs 1,62,75,000","Rs 12,48,00,000","Rs 12,48,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=989
3484,Karan Singh Uchiyarda,JODHPUR,INC,4,Graduate,"Rs 75,66,79,425 ~ 75 Crore+","Rs 19,68,18,421 ~ 19 Crore+","Rs 24,72,17,806","Rs 24,72,17,801","Rs 50,94,61,619","Rs 50,94,61,619",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2006
3485,Karan Suresh Sayam,GADCHIROLI - CHIMUR (ST),IND,0,Others,"Rs 1,65,044 ~ 1 Lacs+",Rs 0 ~,"Rs 1,65,044","Rs 1,65,044",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=320
3486,Karanjit,JAMMU,IND,0,12th Pass,"Rs 66,50,000",Nil,"Rs 36,50,000","Rs 36,90,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1941
3487,Karatapu Raju,ONGOLE,IND,0,12th Pass,"Rs 35,02,000 ~ 35 Lacs+",Rs 0 ~,"Rs 25,02,000","Rs 26,13,000","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6810
3488,Karavali Manjunath. Be,BANGALORE SOUTH,Rashtriya Samaj Dal (R),4,Graduate Professional,"Rs 10,05,14,000 ~ 10 Crore+","Rs 1,70,000 ~ 1 Lacs+","Rs 5,14,000","Rs 6,04,000","Rs 10,00,00,000","Rs 20,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2986
3489,Karbhari Kundlik Mithe,PARBHANI,IND,0,Graduate Professional,"Rs 7,70,335","Rs 2,70,000","Rs 2,70,335","Rs 2,70,335",Rs 0,"Rs 5,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3229
3490,Kareempasha Gachchinmani,KOPPAL,IND,0,10th Pass,"Rs 3,96,57,498 ~ 3 Crore+","Rs 1,71,15,022 ~ 1 Crore+","Rs 36,07,498","Rs 37,27,498","Rs 3,60,50,000","Rs 3,60,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3995
3491,Karikala Cholan S,THANJAVUR,IND,1,Graduate Professional,"Rs 47,87,754 ~ 47 Lacs+","Rs 80,000 ~ 80 Thou+","Rs 17,07,754","Rs 17,09,754","Rs 30,80,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1456
3492,Karingula Yadagiri,BHONGIR,IND,0,10th Pass,"Rs 30,75,000",Nil,"Rs 15,05,000","Rs 15,05,000","Rs 15,70,000","Rs 15,70,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7046
3493,Karmegan M,ERODE,Naam Tamilar Katchi,0,Post Graduate,"Rs 22,40,22,705 ~ 22 Crore+",Rs 0 ~,"Rs 1,64,72,705","Rs 1,64,72,705","Rs 20,75,50,000","Rs 20,75,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1390
3494,Karmlal Oraon,CHATRA,Peoples Party of India (Democratic),0,10th Pass,"Rs 2,07,28,162 ~ 2 Crore+","Rs 32,939 ~ 32 Thou+","Rs 1,60,662","Rs 1,60,662","Rs 2,05,67,500","Rs 2,05,67,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7792
3495,Karnail Singh,LUDHIANA,IND,0,8th Pass,"Rs 3,13,000",Nil,"Rs 3,13,000","Rs 3,13,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9179
3496,Karnail Singh Odhan,SIRSA (SC),IND,0,5th Pass,"Rs 7,50,000 ~ 7 Lacs+",Rs 0 ~,"Rs 4,50,000","Rs 3,10,000","Rs 3,00,000",Rs 0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8634
3497,Karne. Shireesha Alias Barrelakka,NAGARKURNOOL (SC),IND,1,Graduate,"Rs 2,95,338 ~ 2 Lacs+",Rs 0 ~,"Rs 2,95,338","Rs 2,95,338",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5901
3498,Karpagavalli P,TENKASI (SC),IND,0,10th Pass,"Rs 1,00,000","Rs 15,000","Rs 1,00,000","Rs 1,00,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1437
3499,Karra Siva,THIRUPATHI (SC),Pyramid Party of India,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,"Rs 20,000","Rs 20,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6759
3500,Karthi S,NAMAKKAL,IND,0,Graduate Professional,"Rs 70,22,900 ~ 70 Lacs+","Rs 21,00,000 ~ 21 Lacs+","Rs 67,22,900","Rs 67,22,900","Rs 3,00,000","Rs 3,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1601
3501,Karthick A,MAYILADUTHURAI,Samaniya Makkal Nala Katchi,0,8th Pass,"Rs 11,000",Nil,"Rs 11,000","Rs 11,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1579
3502,Karthick C,SIVAGANGA,IND,0,10th Pass,"Rs 30,823 ~ 30 Thou+",Rs 0 ~,"Rs 30,823","Rs 30,823",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1289
3503,Karthick T,COIMBATORE,IND,0,Post Graduate,"Rs 21,59,535 ~ 21 Lacs+","Rs 8,18,000 ~ 8 Lacs+","Rs 21,59,535.27","Rs 21,59,535.67",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1359
3504,Karthik Kumar P C,SRIPERUMBUDUR,IND,0,Others,"Rs 17,11,500",Nil,"Rs 17,11,500","Rs 17,11,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1320
3505,Karthik. K,BANGALORE CENTRAL,Voters Independent Party,0,Literate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,"Rs 50,000","Rs 50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2965
3506,Karthika M,NAGAPATTINAM (SC),Naam Tamilar Katchi,1,Graduate Professional,"Rs 1,23,72,123 ~ 1 Crore+","Rs 75,75,000 ~ 75 Lacs+","Rs 13,72,123.38","Rs 13,72,123.38","Rs 1,10,00,000","Rs 1,10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=236
3507,Karthikeyan A,POLLACHI,AIADMK,0,Graduate Professional,"Rs 5,61,65,587","Rs 1,20,79,133","Rs 1,39,19,587","Rs 1,39,19,588","Rs 4,22,46,000","Rs 4,22,46,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=175
3508,Karthikeyan D S/O Damodharan,POLLACHI,IND,0,Graduate,"Rs 19,27,400 ~ 19 Lacs+",Rs 0 ~,"Rs 19,27,400","Rs 19,27,400",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1204
3509,Karthikeyan D S/O Dhandapani,POLLACHI,IND,0,Literate,"Rs 3,66,534 ~ 3 Lacs+",Rs 0 ~,"Rs 3,66,534.46","Rs 3,66,534.46",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1198
3510,Karthikeyan P,POLLACHI,IND,0,Graduate Professional,"Rs 2,34,10,578","Rs 16,08,234","Rs 29,10,578","Rs 29,10,578","Rs 2,05,00,000","Rs 2,05,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1202
3511,Karthikeyan S,NAMAKKAL,IND,0,Post Graduate,"Rs 43,75,215 ~ 43 Lacs+","Rs 2,76,652 ~ 2 Lacs+","Rs 27,75,215","Rs 27,75,235","Rs 16,00,000","Rs 16,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1610
3512,Karthikmurthy P,CHENNAI SOUTH,IND,0,Post Graduate,"Rs 8,99,000 ~ 8 Lacs+",Rs 0 ~,"Rs 8,99,000","Rs 8,99,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1094
3513,Karthikperumal. R,KARUR,IND,0,Graduate Professional,"Rs 17,26,500",Nil,"Rs 12,26,500","Rs 12,26,500","Rs 5,00,000","Rs 5,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1240
3514,Karthiyayini P,CHIDAMBARAM (SC),BJP,0,Post Graduate,"Rs 2,07,06,337 ~ 2 Crore+","Rs 25,93,876 ~ 25 Lacs+","Rs 59,56,337.18","Rs 85,50,213.18","Rs 1,47,50,000","Rs 1,47,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=814
3515,Karti P Chidambaram,SIVAGANGA,INC,11,Graduate Professional,"Rs 96,27,44,048 ~ 96 Crore+","Rs 23,48,50,274 ~ 23 Crore+","Rs 42,53,10,428","Rs 42,53,10,428","Rs 53,74,33,620","Rs 53,74,33,621",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=181
3516,Kartick Chandra Paul,RAIGANJ,BJP,0,Graduate,"Rs 5,08,32,860","Rs 2,68,16,738","Rs 1,79,36,860","Rs 1,79,36,857","Rs 3,28,96,000","Rs 3,28,96,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1801
3517,Kartik Chandra Bauri,BANKURA,IND,0,Graduate Professional,"Rs 45,05,500 ~ 45 Lacs+","Rs 3,00,000 ~ 3 Lacs+","Rs 2,05,500",Rs 0,"Rs 43,00,000","Rs 49,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7979
3518,Kartik Gendlalji Doke,RAMTEK (SC),IND,0,12th Pass,Rs 500 ~ 5 Hund+,Rs 0 ~,Nil,Rs 500,Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=655
3519,Karukonda Srinivas Yadav,MAHBUBNAGAR,IND,0,12th Pass,"Rs 20,50,000","Rs 9,50,000","Rs 3,70,000","Rs 10,000","Rs 16,80,000","Rs 16,18,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7022
3520,Karumuri Sunil Kumar,ELURU,YSRCP,0,Graduate,"Rs 27,04,00,000 ~ 27 Crore+","Rs 1,02,00,000 ~ 1 Crore+","Rs 8,33,00,000","Rs 8,69,05,200","Rs 18,71,00,000","Rs 18,71,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5274
3521,Karuna Dhananjay Munde,BEED,Swarajya Shakti Sena,1,Others,"Rs 9,95,76,064 ~ 9 Crore+","Rs 64,00,000 ~ 64 Lacs+","Rs 1,65,76,064","Rs 1,65,76,064","Rs 8,30,00,000","Rs 8,30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6488
3522,Karunakar Reddy Nalla,BHONGIR,Jai Bharat National Party,3,Post Graduate,"Rs 51,80,000",Nil,"Rs 1,80,000","Rs 23,88,000","Rs 50,00,000","Rs 50,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5424
3523,Karunakaran M,SALEM,IND,0,Post Graduate,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,"Rs 2,50,000","Rs 2,50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1015
3524,Karunamoorthy. S,KARUR,IND,0,Graduate Professional,"Rs 2,05,500 ~ 2 Lacs+",Rs 0 ~,"Rs 2,05,500","Rs 2,05,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1256
3525,Karunchiruthai Kaliyamurthy. K,VILUPPURAM (SC),BSP,0,10th Pass,"Rs 4,51,000",Nil,"Rs 4,51,000","Rs 4,51,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=218
3526,Karuppaiya. R,KARUR,Naam Tamilar Katchi,0,Post Graduate,"Rs 4,87,56,427 ~ 4 Crore+","Rs 47,69,112 ~ 47 Lacs+","Rs 1,27,35,927","Rs 1,27,35,927","Rs 3,60,20,500","Rs 11,70,20,500",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=144
3527,Kasani Gyaneshwar Kasani,CHEVELLA,BRS,1,8th Pass,"Rs 2,27,47,31,642 ~ 227 Crore+","Rs 30,00,000 ~ 30 Lacs+","Rs 15,12,31,642","Rs 15,12,31,642","Rs 2,12,35,00,000","Rs 2,12,35,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5224
3528,Kashi Sathish Kumar,PEDDAPALLE (SC),Anti Corruption Dynamic Party,5,Others,"Rs 60,000",Nil,"Rs 60,000","Rs 60,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5920
3529,Kashif Husain,AMROHA,IND,0,12th Pass,"Rs 16,81,82,485 ~ 16 Crore+",Rs 0 ~,"Rs 51,79,485","Rs 51,79,485","Rs 16,30,03,000","Rs 1,38,03,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2487
3530,Kashinath Kallappa Kurani,CHIKKODI,IND,0,Graduate,"Rs 1,60,81,000 ~ 1 Crore+","Rs 13,62,000 ~ 13 Lacs+","Rs 55,81,000","Rs 55,81,000",Rs 0,"Rs 1,05,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4021
3531,Kashinath Kisan Deokate,MADHA,IND,2,Graduate Professional,"Rs 21,45,80,929",Nil,"Rs 4,13,80,929","Rs 4,11,88,469","Rs 17,32,00,000","Rs 17,32,55,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4923
3532,Kashinath Mondal,DIAMOND HARBOUR,IND,0,Graduate,"Rs 1,31,58,409 ~ 1 Crore+",Rs 0 ~,"Rs 6,08,409","Rs 6,23,409","Rs 1,25,50,000","Rs 1,25,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9009
3533,Kashinath Vishwanath Dhamode,AKOLA,BSP,0,Graduate,"Rs 26,05,002 ~ 26 Lacs+","Rs 12,50,000 ~ 12 Lacs+","Rs 5,05,002","Rs 5,05,002","Rs 21,00,000","Rs 21,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2369
3534,Kasim Ali,DHAURAHRA,Peace Party,0,Literate,"Rs 15,23,900","Rs 74,856","Rs 2,73,900","Rs 2,72,400","Rs 12,50,000","Rs 12,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5655
3535,Kasimalla Nageswara Rao,KHAMMAM,IND,1,10th Pass,"Rs 10,50,000 ~ 10 Lacs+",Rs 0 ~,"Rs 50,000","Rs 53,000","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5731
3536,Kasna Rana Pargi,RATLAM (ST),IND,0,Literate,"Rs 35,10,000 ~ 35 Lacs+",Rs 0 ~,"Rs 5,10,000","Rs 5,10,000","Rs 30,00,000","Rs 30,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6423
3537,Kasoju Srikanth,MEDAK,IND,0,12th Pass,"Rs 50,200",Nil,"Rs 50,200","Rs 50,200",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5832
3538,Kaspate Ganesh Vyankatrao,BEED,IND,0,Post Graduate,"Rs 77,534 ~ 77 Thou+",Rs 0 ~,"Rs 77,534","Rs 77,534",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6506
3539,Kasturi Obaiah Naidu,RAJAMPET,IND,0,10th Pass,"Rs 1,50,43,930 ~ 1 Crore+","Rs 4,22,137 ~ 4 Lacs+","Rs 50,43,930","Rs 50,43,930","Rs 1,00,00,000","Rs 1,90,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6642
3540,Katara Varunkumar Kalyansinh,SABARKANTHA,Gunj Satya Ni Janata Party,0,Graduate,"Rs 13,841",Nil,"Rs 13,841","Rs 13,841",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5010
3541,Kathiravan. P,KARUR,IND,0,Graduate Professional,"Rs 9,05,000 ~ 9 Lacs+",Rs 0 ~,"Rs 9,05,000","Rs 9,05,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1275
3542,Kathula Yadaiah,CHEVELLA,IND,0,Post Graduate,Nil,Rs 0 ~,Nil,Nil,Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7068
3543,Katkuri Sandeep,PEDDAPALLE (SC),IND,2,Graduate,"Rs 20,641",Nil,"Rs 20,641","Rs 10,10,641",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5929
3544,Katru Naga Babu,AMALAPURAM (SC),Telugu Nava Garjana Party,0,Post Graduate,"Rs 1,76,000 ~ 1 Lacs+",Rs 0 ~,"Rs 1,76,000","Rs 1,76,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5825
3545,Katta Anand Babu,BAPATLA (SC),IND,0,Post Graduate,Rs 7 ~,"Rs 2,50,000 ~ 2 Lacs+",Rs 7,Rs 7,Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6061
3546,Katta Hemanand,BAPATLA (SC),IND,0,Post Graduate,"Rs 9,86,500","Rs 3,75,000","Rs 9,86,500","Rs 9,86,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6058
3547,Kattamanchi. Prabhakar,THIRUPATHI (SC),IND,0,Post Graduate,"Rs 1,44,580 ~ 1 Lacs+",Rs 0 ~,"Rs 1,44,580.04","Rs 1,44,580.04",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6768
3548,Kattapogu Vijay Kumar,BAPATLA (SC),Pyramid Party of India,0,5th Pass,"Rs 11,71,500 ~ 11 Lacs+",Rs 0 ~,"Rs 1,71,500","Rs 1,71,500","Rs 10,00,000","Rs 10,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6065
3549,Katukojwala Nageswar Rao,KHAMMAM,IND,0,Graduate Professional,"Rs 54,01,977","Rs 1,40,000","Rs 36,01,977","Rs 36,01,977","Rs 18,00,000","Rs 18,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5734
3550,Kausalya Hikaka,KORAPUT (ST),BJD,0,12th Pass,"Rs 3,50,09,152 ~ 3 Crore+","Rs 4,73,405 ~ 4 Lacs+","Rs 1,55,84,152","Rs 1,55,84,144","Rs 1,94,25,000","Rs 1,94,25,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6352
3551,Kausar Khan,AONLA,Peace Party,0,Literate,"Rs 76,53,812 ~ 76 Lacs+",Rs 0 ~,"Rs 16,53,812","Rs 17,53,812","Rs 60,00,000","Rs 60,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3710
3552,Kausar Sultana,NANDED,Indian National League,0,10th Pass,"Rs 75,48,190","Rs 5,47,224","Rs 63,48,190","Rs 63,49,690","Rs 12,00,000","Rs 12,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3267
3553,Kaushal Kishore,MOHANLALGANJ (SC),BJP,2,12th Pass,"Rs 8,90,21,099 ~ 8 Crore+",Rs 0 ~,"Rs 1,19,21,099","Rs 1,19,21,099","Rs 7,71,00,000","Rs 7,71,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7163
3554,Kaushalendra Kumar,NALANDA,JD(U),0,12th Pass,"Rs 4,24,53,773 ~ 4 Crore+","Rs 73,46,973 ~ 73 Lacs+","Rs 83,53,773","Rs 83,53,773","Rs 3,41,00,000","Rs 3,41,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9494
3555,Kaushalya Bai Porte,KORBA,IND,0,Graduate,"Rs 22,56,746",Nil,"Rs 14,56,746","Rs 14,56,746","Rs 8,00,000","Rs 8,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4586
3556,Kaushik S,VIRUDHUNAGAR,Naam Tamilar Katchi,0,Graduate Professional,"Rs 9,40,251 ~ 9 Lacs+",Rs 0 ~,"Rs 9,40,251","Rs 9,40,251",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=784
3557,Kavali Sukumar,CHEVELLA,IND,0,Graduate,"Rs 30,000 ~ 30 Thou+","Rs 91,666 ~ 91 Thou+","Rs 30,000","Rs 15,017",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7062
3558,Kavindra Pandit,BANKA,SUCI(C),0,12th Pass,"Rs 21,60,600",Nil,"Rs 3,10,600","Rs 3,10,600","Rs 18,50,000","Rs 18,50,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2157
3559,Kavir Madan Das,MALDAHA DAKSHIN,Ambedkarite Party of India,0,8th Pass,"Rs 2,29,853 ~ 2 Lacs+",Rs 0 ~,"Rs 2,29,853","Rs 2,29,853",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4781
3560,Kavita,MUZAFFARNAGAR,Rashtrawadi Janlok Party (Satya),0,Graduate,"Rs 21,16,55,393 ~ 21 Crore+","Rs 1,64,82,020 ~ 1 Crore+","Rs 1,16,17,393","Rs 1,16,17,393","Rs 20,00,38,000","Rs 20,00,38,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=889
3561,Kavita,GHAZIABAD,IND,0,Graduate,"Rs 20,63,04,948","Rs 1,64,82,020","Rs 92,66,948","Rs 92,66,948","Rs 19,70,38,000","Rs 19,70,38,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2674
3562,Kavitaben Dineshbhai Machchhoya,KACHCHH (SC),IND,0,Graduate,"Rs 26,17,492 ~ 26 Lacs+",Rs 0 ~,"Rs 10,17,492","Rs 10,17,492","Rs 16,00,000","Rs 16,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5038
3563,Kavitha Maloth,MAHABUBABAD (ST),BRS,2,Graduate,"Rs 4,97,72,259 ~ 4 Crore+","Rs 10,05,024 ~ 10 Lacs+","Rs 3,97,72,259","Rs 3,78,72,259","Rs 1,00,00,000","Rs 1,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5232
3564,Kavitha. S,TIRUCHIRAPPALLI,IND,0,8th Pass,"Rs 50,000",Nil,Nil,"Rs 50,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1530
3565,Kavuri Lavanya,ELURU,INC,0,Post Graduate,"Rs 36,79,09,925 ~ 36 Crore+","Rs 3,43,00,000 ~ 3 Crore+","Rs 1,72,19,925","Rs 1,72,19,833","Rs 35,06,90,000","Rs 35,06,90,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5275
3566,Kawaljit Singh,KHADOOR SAHIB,IND,0,12th Pass,"Rs 26,00,000 ~ 26 Lacs+","Rs 20,00,000 ~ 20 Lacs+","Rs 11,00,000","Rs 31,00,000","Rs 15,00,000","Rs 15,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9155
3567,Kawasi Lakhma,BASTAR (ST),INC,0,Literate,"Rs 2,41,37,757","Rs 1,23,59,452","Rs 85,97,757","Rs 84,04,815","Rs 1,55,40,000","Rs 1,65,40,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=747
3568,Kaya Durgarao,SRIKAKULAM,Navarang Congress Party,0,8th Pass,"Rs 5,79,500 ~ 5 Lacs+",Rs 0 ~,"Rs 5,79,500","Rs 5,79,500",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=6623
3569,Kazi Ayaz Husnuddin,NAVSARI,IND,0,Illiterate,"Rs 85,000 ~ 85 Thou+",Rs 0 ~,"Rs 85,000","Rs 85,000",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5141
3570,Kazi Nekib Ahmed,GUWAHATI,IND,0,Graduate,"Rs 1,50,39,961",Nil,"Rs 39,961","Rs 3,09,961","Rs 1,50,00,000","Rs 3,00,00,000",https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4034
3571,Keerthana M,ERODE,IND,0,Post Graduate,"Rs 20,60,346 ~ 20 Lacs+",Rs 0 ~,Nil,"Rs 20,60,346",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1408
3572,Kempegowda,BANGALORE SOUTH,Navabharath Sena,0,12th Pass,"Rs 5,52,369 ~ 5 Lacs+",Rs 0 ~,"Rs 5,52,369","Rs 5,52,369",Nil,Nil,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2031
